"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C18";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";1;"10uF";;;
2;"SW2";"smd_push2";1;"BOOT";;;
3;"C17,C15,C16";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";3;"0.1uF";;;
4;"R3,R2,R36,R34,R35,R33";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";6;"4.7K";;;
5;"C4,C5,C6,C3";"CP_Elec_8x10";4;"220uf";;;
6;"J2";"JST_EH_B5B-EH-A_1x05_P2.50mm_Vertical";1;"GPIO";;;
7;"SW1";"smd_push2";1;"RESET";;;
8;"J5";"JST_EH_B3B-EH-A_1x03_P2.50mm_Vertical";1;"TOUCH_SENSOR";;;
9;"R4,R30,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";3;"10k";;;
10;"D18";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED";;;
11;"U9";"Allegro_SIP-3";1;"A3144";;;
12;"RV1";"Potentiometer_ACP_CA6-VSMD_Vertical";1;"R_Potentiometer";;;
13;"J8";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";1;"OLED";;;
14;"U8";"SOIC-8_3.9x4.9mm_P1.27mm";1;"LM393";;;
15;"U5,U4";"TO-220-15_P2.54x2.54mm_StaggerOdd_Lead4.58mm_Vertical";2;"L298N";;;
16;"C2";"C_1206_3216Metric";1;"10uf";;;
17;"R32";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"10K";;;
18;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
19;"D19";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"LED_DETECTION";;;
20;"J7";"JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical";1;"SERIAL_USB";;;
21;"C8,C12";"CP_Elec_6.3x5.4";2;"10uf";;;
22;"J1";"JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical";1;"OTHERS";;;
23;"J3,J4";"JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical";2;"Conn_01x04";;;
24;"R31";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1K";;;
25;"J6";"BarrelJack_Horizontal";1;"Barrel_Jack_MountingPin";;;
26;"C1,C11,C14,C10,C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";5;"10uf";;;
27;"R29";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1k";;;
28;"R14,R16,R23,R22,R9,R21,R28,R15,R13,R25,R26,R24,R11,R12,R10,R27";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";16;"5.1k";;;
29;"D8,D1,D7,D6,D13,D11,D14,D4,D10,D15,D3,D16,D5,D12,D9,D2";"D_SOD-128";16;"1N4007";;;
30;"Q7,Q6,Q8,Q2,Q3,Q1,Q4,Q5";"SOT-23";8;"BC328";;;
31;"R18,R8,R20,R19,R5,R17,R7,R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";8;"220";;;
32;"C13,C9";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nf";;;
33;"U3,U2";"SO-16_5.3x10.2mm_P1.27mm";2;"TLP281-4GB(F)";;;
34;"U7";"SOT-223";1;"AMS1117-3.3";;;
35;"F2";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"2A";;;
36;"D17";"D_SOD-128";1;"1N4002";;;
37;"U6";"SOT-223";1;"AMS1117-5.0";;;
38;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"1A";;;
